,Precision,Recall,F1-score,Support
0Nm_Normal,0.9504 ± 0.0214,0.9672 ± 0.0273,0.9581 ± 0.0075,240
0Nm_BPFI_03,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,240
0Nm_BPFO_03,0.9983 ± 0.0034,0.9991 ± 0.0019,0.9987 ± 0.0017,240
0Nm_Misalign_01,0.9957 ± 0.0086,0.9965 ± 0.0034,0.9961 ± 0.0048,240
0Nm_Unbalance_0583mg,0.9670 ± 0.0248,0.9453 ± 0.0210,0.9556 ± 0.0098,240
2Nm_Normal,0.8235 ± 0.0527,0.8840 ± 0.0336,0.8510 ± 0.0253,240
2Nm_BPFI_03,1.0000 ± 0.0000,0.9991 ± 0.0018,0.9996 ± 0.0009,240
2Nm_BPFO_03,0.9958 ± 0.0026,0.9959 ± 0.0052,0.9959 ± 0.0025,240
2Nm_Misalign_01,1.0000 ± 0.0000,0.9992 ± 0.0016,0.9996 ± 0.0008,240
2Nm_Unbalance_0583mg,0.8753 ± 0.0281,0.8049 ± 0.0710,0.8362 ± 0.0365,240
4Nm_Normal,0.9902 ± 0.0120,0.9595 ± 0.0420,0.9739 ± 0.0191,240
4Nm_BPFI_03,0.9992 ± 0.0016,1.0000 ± 0.0000,0.9996 ± 0.0008,240
4Nm_BPFO_03,0.9991 ± 0.0017,0.9968 ± 0.0028,0.9980 ± 0.0012,240
4Nm_Misalign_01,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,240
4Nm_Unbalance_0583mg,0.9599 ± 0.0378,0.9900 ± 0.0122,0.9741 ± 0.0162,240
